service_library;service;deprecated_operation;description;deprecated_in;removal_targeted_in
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_01::Structuremanagement::createBOMWindows;Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.;12. Feb;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_01::Structuremanagement::createOrUpdateAbsoluteStructure;Use the createOrUpdateAbsoluteStructure operation from the _2007_12 namespace.;7;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_01::Structuremanagement::createOrUpdateRelativeStructure;Use the createOrUpdateRelativeStructure operation from the _2007_12 namespace.;7;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_01::Structuremanagement::deleteAssemblyArrangements;Use the deleteAssemblyArrangements operation from the _2007_12 namespace.;7;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_01::Structuremanagement::deleteRelativeStructure;Use the deleteRelativeStructure operation from the _2007_12 namespace.;7;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2007_06::Structuremanagement::createOrUpdateVariantConditions;Use the createOrUpdateVariantConditions2 operation from the _2007_09 namespace.;07. Jan;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2008_03::Structuremanagement::askChildPathBOMLines;Use the askChildPathBOMLine operation from _2013_05 namespace.;10. Jan;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2008_06::Structuremanagement::reconfigureBOMWindows;Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.;12. Feb;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2009_04::Structuremanagement::createOrUpdateRelativeStructure;Use the createOrUpdateRelativeStructure operation from the _2013_05 namespace.;10. Jan;2712
TcSoaCad;Datamanagement;Teamcenter::Services::Cad::_2011_06::Datamanagement::getAllAttrMappings2;Use the getAttrMappings operation from the _2014_10 namespace.;11. Jan;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2013_05::Structuremanagement::createBOMWindows2;Use the createOrReConfigureBOMWindows operation from the _2007_01 namespace.;12. Feb;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2013_05::Structuremanagement::createOrUpdateRelativeStructure;use createOrUpdateRelativeStructure from Teamcenter::Soa::Cad::_2024_12 namespace;2412;2712
TcSoaCad;Structuremanagement;Teamcenter::Services::Cad::_2024_12::Structuremanagement::createOrUpdateRelativeStructure;use createOrUpdateRelativeStructure from Teamcenter::Soa::Cad::_2025_06 namespace;2506;2712
TcSoaCalendarmanagement;Calendarmanagement;Teamcenter::Services::Calendarmanagement::_2007_01::Calendarmanagement::modifyTCCalendars;Use the updateCalendars opeation from the _2008_06 namespace.;08. Feb;2712
TcSoaChangemanagement;Changemanagement;Teamcenter::Services::Changemanagement::_2008_06::Changemanagement::createChangeItems;Use the createObjects operation.;10;2712
TcSoaChangemanagement;Changemanagement;Teamcenter::Services::Changemanagement::_2008_06::Changemanagement::updateChangeItems;Use the setProperties  createRelations  and deleteRelations operations.;10;2712
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::createClassificationObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::deleteClassificationObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::findClassificationObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::findClassifiedObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getAttributesForClasses;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getChildren;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getClassDescriptions;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getClassificationObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getFileIds;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getKeyLOVs;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
